[53.01705852 18.60277707]
[53.01706075 18.60276931]
[53.01705692 18.60277405]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
[53.0170581  18.60275565]
